id_cliente,nombre_cliente,correo,telefono,industria,pais,ciudad,nivel_satisfaccion
1,"Rosales, Ponce y Barrientos",flavio70@casarez.org,393-669-9431x393,Operador de telar y otras máquinas tejedoras,Uruguay,Nueva Haití,2
2,"Luevano, Villagómez y Ocasio",dtoro@rincon.com,425-534-2958x342,Secretario administrativo,Azerbaiyán,Vieja Nueva Zelandia,3
3,Despacho Soto-Macías,porfiriobrito@montemayor.com,536.102.9294x631,Agente de compras,Bolivia,Vieja Mauritania,3
4,"Zelaya, Razo y Gamez",munizadalberto@arellano.com,(555)370-0710x371,Tasador,Malasia,Nueva Antigua y Barbuda,4
5,Club Leiva-Godoy,qduenas@club.com,1-777-123-3736,Lavador de vehículos,Bolivia,San Leonel los altos,5
6,Corporacin Gamez y Lucero,adavila@aguilera-puga.com,618.928.9833,Ayudante de cocina,Comoras,Nueva Nigeria,4
7,Villegas-Nava y Asociados,bmondragon@lomeli.com,1-117-555-0896x604,Agente de servicios de expedición de licencias y permisos,Comoras,San Leonor los altos,5
8,Grupo Villagómez y Gastélum,gpedroza@tirado-segovia.com,+37(9)3907509799,Profesional de medicina,Islas Marshall,Vieja Guinea,2
9,Páez-Garrido y Asociados,salma71@ocampo-barreto.net,(535)096-6704x46334,Receptor de apuestas,Côte d'Ivoire,Vieja Bosnia y Herzegovina,5
10,Industrias Soto-Moreno,camila21@guardado.com,1-638-187-2881,Técnico de la Web,Malasia,Vieja Timor-Leste,3
11,Corona-Arce,renehidalgo@solis-mondragon.com,1-203-343-5053x55203,Ensamblador de maquinaria mecánica,India,Nueva Serbia,2
12,Gastélum-Puga S.C.,ana-luisa11@mayorga-iglesias.com,08583560585,Supervisor de secretaría,Islas Marshall,Nueva Kirguistán,2
13,"Despacho Aguayo, Dueñas y Rentería",octavio97@laboratorios.com,(133)741-7124,Carpintero,Timor-Leste,Vieja Líbano,5
14,Despacho Rocha-Beltrán,ponceeduardo@laboratorios.biz,862.823.4312,Detective,Lituania,Nueva Ghana,2
15,Marroquín S.A. de C.V.,david75@briseno.net,+99(2)0422504852,Operario del tratamiento de la madera,Timor-Leste,San Lucas de la Montaña,5
16,Heredia y Montero S. R.L. de C.V.,cynthiamontanez@escobar.com,364-779-2674x69422,Parquetero y colocador de suelos,Côte d'Ivoire,Vieja Guyana,2
17,"Soria, Armas y Esparza",qleyva@club.com,+26(2)3927843715,Agente de bolsa,Lituania,Vieja Bahamas,5
18,Despacho Sotelo-Rivera,flaviopreciado@sisneros.com,(773)821-4208,Desarrollador Web y multimedia,Lituania,San Aida los bajos,2
19,Despacho Nazario-Posada,quirozarturo@laboratorios.biz,247.222.6796,"Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos",India,San Cristobal los bajos,2
20,Villalpando A.C.,alfredo02@barrientos.net,(682)162-5369,Empleado de agencia de viajes,Islas Marshall,Nueva Dinamarca,5
